id,start,end,measurable,room,subject,home
618158,2021-03-15 21:28:29.678+00,2021-03-15 21:28:29.678+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618160,2021-03-15 21:28:29.678+00,2021-03-15 21:28:29.678+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618162,2021-03-15 21:35:02.286+00,2021-03-15 21:35:02.286+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618164,2021-03-15 21:35:02.286+00,2021-03-15 21:35:02.286+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618165,2021-03-15 21:35:09.517+00,2021-03-15 21:35:09.517+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618168,2021-03-15 21:35:09.517+00,2021-03-15 21:35:09.517+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618170,2021-03-15 21:52:34.57+00,2021-03-15 21:52:34.57+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618172,2021-03-15 21:52:34.57+00,2021-03-15 21:52:34.57+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618173,2021-03-16 08:48:08.569+00,2021-03-16 08:48:08.569+00,use,bedroom,clothes2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618175,2021-03-16 08:48:08.569+00,2021-03-16 08:48:08.569+00,use,bedroom,clothes2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618177,2021-03-16 11:14:16.165+00,2021-03-16 11:14:16.165+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618178,2021-03-16 11:14:16.165+00,2021-03-16 11:14:16.165+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618180,2021-03-16 11:14:28.538+00,2021-03-16 11:14:28.538+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618181,2021-03-16 11:14:28.538+00,2021-03-16 11:14:28.538+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618183,2021-03-16 11:18:53.671+00,2021-03-16 11:18:53.671+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
